index,text,Diacterized,Buckwalter,Cleaned_Text
13886,ومش هتستحملوا وهتوافقوا على شروطي,وَمَشْ هتستحملوا وهتوافقوا عَلَى شُروطي,wama$o htstHmlwA whtwAfqwA EalaY $urwTy,wmsh htsthmlwa whtwafqwa ela shurwty
13887,الكلام دا طبعا ما تقالش نصا بس هو دا معنى,الكَلامُ دا طَبْعًا ما تَقالَشُ نَصًّا بَسّْ هوَ دا مَعْنَى,AlkalAmu dA TaboEFA mA taqAla$u naS~FA bas~o hwa dA maEonaY,alklamu da tbea ma tqalshu nsa bs hw da mena
13888,التحرك الفرنسي,التَّحَرُّكُ الفَرَنْسيُّ,Alt~aHar~uku Alfaranosy~u,althruku alfrnsyu
13889,فضلت الشركة الفرنسية موقفة الإنتاج لحد ما,فَضَّلتْ الشَّرِكَةُ الفَرَنْسيَّةُ موَقَّفَةَ الإِنْتاجِ لِحَدَّ ما,faD~alto Al$~arikapu Alfaranosy~apu mwaq~afapa Al<inotAji liHad~a mA,fdlt alshrktu alfrnsytu mwqft alintaj lhd ma
13890,استأنفته تاني بعدها بشهر وتحديدا في,استأنفتْهُ تاني بَعْدَها بِشَهْرٍ وَتَحْديدًا في,Ast>nftohu tAny baEodahA bi$ahorK wataHodydFA fy,astanfthu tany bedha bshhr wthdyda fy
13891,والنيجر تمسكت بموقفها,والنَّيْجَرَ تَمَسَّكَتْ بِمَوْقِفِها,wAln~ayojara tamas~akato bimawoqifihA,walnyjr tmskt bmwqfha
13892,شروط النيجر,شُروطُ النَّيْجَرِ,$urwTu Aln~ayojari,shurwtu alnyjr
13893,الإعفاءات الضريبية اللي واخدها هتقل,الإِعْفاءاتِ الضَّريبيَّةِ اللّي واخِدْها هتقلْ,Al<iEofA'Ati AlD~aryby~api All~y wAxidohA htqlo,aliefaeat aldrybyt ally wakhdha htql
13894,للمناجم وتبني مشاريع خدمية للناس,لِلْمَناجِمِ وَتَبَنّي مَشاريعَ خِدْميَّةٍ لِلنّاسِ,lilomanAjimi wataban~y ma$AryEa xidomy~apK liln~Asi,llmnajm wtbny msharye khdmyt llnas
13895,في المنطقة,في المِنْطَقَةِ,fy AlminoTaqapi,fy almntqt
13896,وفي نفس الوقت الشركة الفرنسية التزمت,وَفي نَفْسِ الوَقْتِ الشَّرِكَةِ الفَرَنْسيَّةِ التَزَمَتْ,wafy nafosi Alwaqoti Al$~arikapi Alfaranosy~api Altazamato,wfy nfs alwqt alshrkt alfrnsyt altzmt
13897,بإنها هتعين مواطنين من النيجر على رأس,بِإِنّْها هتعَيْنِ مواطِنينَ مِنْ النَّيْجَرِ عَلَى رَأْسِ,bi<in~ohA htEayoni mwATinyna mino Aln~ayojari EalaY ra>osi,binha hteyn mwatnyn mn alnyjr ela ras
13898,منجمين اليورانيوم اللي بتشغلهم في البلد,مُنَجِّمينَ اليورانْيومِ اللّي بِتَشْغَلْهُمْ في البَلَدِ,munaj~imyna AlywrAnoywmi All~y bita$ogalohumo fy Albaladi,munjmyn alywranywm ally btshghlhum fy albld
13899,وهما سومير وكوميناك,وَهُما سوميرْ وكوميناكْ,wahumA swmyro wkwmynAko,whuma swmyr wkwmynak
13900,والاتفاق دا البرلمان في النيجر أقره في أكتوبر,والِاتِّفاقُ دا البَرْلَمانِ في النَّيْجَرِ أَقَرَّهُ في أُكْتوبَرَ,wAliAt~ifAqu dA AlbarolamAni fy Aln~ayojari >aqar~ahu fy >ukotwbara,walatfaqu da albrlman fy alnyjr aqrhu fy auktwbr
13901,من نفس سنة,مِنْ نَفْسِ سَنَةِ,mino nafosi sanapi,mn nfs snt
13902,أنت ممكن تتخيل دلوقت إن دي نهاية سعيدة,أَنْتَ مُمْكِنٌ تَتَخَيَّلُ دلوقتْ إِنّْ دي نِهايَةِ سَعيدَةٌ,>anota mumokinN tataxay~alu dlwqto <in~o dy nihAyapi saEydapN,ant mumkn ttkhylu dlwqt in dy nhayt seydt
13903,لقصة حزينة,لِقِصَّةٍ حَزينَةٍ,liqiS~apK HazynapK,lqst hzynt
13904,لأن الشروط دي انتصار ساحق لشعب النيجر,لِأَنَّ الشُّروطَ دي انْتِصارٍ ساحِقٍ لِشَعْبِ النَّيْجَرِ,li>an~a Al$~urwTa dy AnotiSArK sAHiqK li$aEobi Aln~ayojari,lan alshurwt dy antsar sahq lsheb alnyjr
13905,قليل الحظ على الفرنسيين,قَليلُ الحَظِّ عَلَى الفَرَنْسيّينَ,qalylu AlHaZ~i EalaY Alfaranosy~yna,qlylu alhz ela alfrnsyyn
13906,أخيرا الشعب دا هياخد حقه ويحط إيده على,أَخيرًا الشَّعْبُ دا هياخدْ حَقَّهُ وَيَحُطُّ إيدَهُ عَلَى,>axyrFA Al$~aEobu dA hyAxdo Haq~ahu wayaHuT~u <ydahu EalaY,akhyra alshebu da hyakhd hqhu wyhutu iydhu ela
13907,نصيب عادل من ثروته اللي اتحرم منها على,نَصيبُ عادِلٍ مِنْ ثَرْوَتِهِ اللّي اتحرمْ مِنْها عَلَى,naSybu EAdilK mino varowatihi All~y AtHrmo minohA EalaY,nsybu eadl mn thrwth ally athrm mnha ela
13908,مدار عقود,مَدارُ عُقودٍ,madAru EuqwdK,mdaru euqwd
13909,ولكن خليني أقول لك ما تتحمسش قوي كدا,وَلَكِنْ خَلّيني أَقولُ لَكَ ما تتحمسشْ قَويٍّ كَدا,walakino xal~yny >aqwlu laka mA ttHms$o qawy~K kadA,wlkn khlyny aqwlu lk ma tthmssh qwy kda
13910,تعال أحكي لك أخواتنا الفرنسيين عملوا إيه,تَعالَ أَحْكيَ لَكَ أَخَواتِنا الفَرَنْسيّينَ عَمِلوا إيهْ,taEAla >aHokya laka >axawAtinA Alfaranosy~yna EamilwA <yho,teal ahky lk akhwatna alfrnsyyn emlwa iyh
13911,وركز وتعلم من فضك,وَرَكَّزَ وَتَعَلَّمَ مِنْ فَضِّكَ,warak~aza wataEal~ama mino faD~ika,wrkz wtelm mn fdk
13912,هي أي نعم مش حاجة كويسة تتعلمها من,هيَ أَيْ نَعَمَ مَشْ حاجَةً كويسَةً تَتَعَلَّمَها مِنْ,hya >ayo naEama ma$o HAjapF kwysapF tataEal~amahA mino,hy ay nem msh hajt kwyst ttelmha mn
13913,الفرنسيين,الفَرَنْسيّينَ,Alfaranosy~yna,alfrnsyyn
13914,بس علشان تبقى فاهم الدنيا ماشية إزاي,بَسَّ عَلَشانٌ تَبْقَى فاهِمُ الدُّنْيا ماشيَةً إِزاي,bas~a Eala$AnN taboqaY fAhimu Ald~unoyA mA$yapF <izAy,bs elshan tbqa fahmu aldunya mashyt izay
13915,بص يا سيدي,بَصَّ يا سَيِّدي,baS~a yA say~idy,bs ya sydy
13916,المفروض إنه بعد دخول الاتفاق الجديد بين,المَفْروضُ إِنَّهُ بَعْدَ دُخولِ الِاتِّفاقِ الجَديدِ بَيْنَ,AlmaforwDu <in~ahu baEoda duxwli AliAt~ifAqi Aljadydi bayona,almfrwdu inhu bed dukhwl alatfaq aljdyd byn
13917,شركة الطاقة النووية التابعة للحكومة الفرنسية,شَرِكَةُ الطّاقَةِ النَّوَويَّةِ التّابِعَةِ لِلْحُكومَةِ الفَرَنْسيَّةِ,$arikapu AlT~Aqapi Aln~awawy~api Alt~AbiEapi liloHukwmapi Alfaranosy~api,shrktu altaqt alnwwyt altabet llhukwmt alfrnsyt
13918,أريفا وحكومة النيجر حيز التنفيذ,أَريفا وَحُكومَةِ النَّيْجَرِ حَيِّزَ التَّنْفيذِ,>aryfA waHukwmapi Aln~ayojari Hay~iza Alt~anofy*i,aryfa whukwmt alnyjr hyz altnfydh
13919,الإيرادات بتاعت النيجر من قطاع اليورانيوم تزيد,الإيراداتُ بِتاعتْ النَّيْجَرُ مِنْ قِطاعِ اليورانْيومِ تَزيدُ,Al<yrAdAtu bitAEto Aln~ayojaru mino qiTAEi AlywrAnoywmi tazydu,aliyradatu btaet alnyjru mn qtae alywranywm tzydu
13920,بس دا ما حصلش,بَسَّ دا ما حصلشْ,bas~a dA mA HSl$o,bs da ma hslsh
13921,بالعكس دي قلت,بِالْعَكْسِ دي قُلتْ,biAloEakosi dy qulto,baleks dy qult
13922,ودا شيء غريب جدا خصوصا وإن الإنتاج,وُدًّا شَيْءٌ غَريبٌ جِدًّا خُصوصًا وَإِنَّ الإِنْتاجَ,wud~FA $ayo'N garybN jid~FA xuSwSFA wa<in~a Al<inotAja,wuda shye ghryb jda khuswsa win alintaj
13923,زي ما هو ما تغيرش,زَيُّ ما هوَ ما تغيرشْ,zay~u mA hwa mA tgyr$o,zyu ma hw ma tghyrsh
13924,يعني مثلا خد عندك منجم سومير,يَعْني مَثَلًا خَدَّ عِنْدَكَ مَنْجَمُ سوميرْ,yaEony mavalFA xad~a Einodaka manojamu swmyro,yeny mthla khd endk mnjmu swmyr
13925,التابع للشركة الفرنسية في النيجر واللي بيعتبر,التّابِعُ لِلشَّرِكَةِ الفَرَنْسيَّةِ في النَّيْجَرِ واللّيَّ بيُعْتَبَرُ,Alt~AbiEu lil$~arikapi Alfaranosy~api fy Aln~ayojari wAll~y~a byuEotabaru,altabeu llshrkt alfrnsyt fy alnyjr wally byuetbru
13926,واحد من أكبر مناجم اليورانيوم,واحِدُ مِنْ أَكْبَرِ مَناجِمِ اليورانْيومِ,wAHidu mino >akobari manAjimi AlywrAnoywmi,wahdu mn akbr mnajm alywranywm
13927,الكلام دا كان قبل الاتفاق الجديد اللي زادت,الكَلامُ دا كانَ قَبْلَ الِاتِّفاقِ الجَديدِ اللّي زادَتْ,AlkalAmu dA kAna qabola AliAt~ifAqi Aljadydi All~y zAdato,alklamu da kan qbl alatfaq aljdyd ally zadt
13928,فيه قيمة الضرايب,فيهِ قيمَةُ الضَّرايِبِ,fyhi qymapu AlD~arAyibi,fyh qymtu aldrayb
13929,بعد الاتفاق بقى المفروض تدفع أكتر صح ,بَعْدَ الِاتِّفاقِ بَقَّى المَفْروضُ تَدْفَعُ أَكْتَرْ صَحَّ,baEoda AliAt~ifAqi baq~aY AlmaforwDu tadofaEu >akotaro SaH~a,bed alatfaq bqa almfrwdu tdfeu aktr sh
13930,بنفس مستويات الإنتاج,بِنَفْسِ مُسْتَوَياتِ الإِنْتاجِ,binafosi musotawayAti Al<inotAji,bnfs mustwyat alintaj
13931,يعني مش بس ما دفعوش زيادة,يَعْني مَشَّ بَسِّ ما دفعوشْ زيادَةِ,yaEony ma$~a bas~i mA dfEw$o zyAdapi,yeny msh bs ma dfewsh zyadt
13932,كدا فيه حاجة مش مضبوطة,كَدا فيهِ حاجَةٌ مَشَّ مَضْبوطَةً,kadA fyhi HAjapN ma$~a maDobwTapF,kda fyh hajt msh mdbwtt
13933,وقبل ما أقول لك الغلط أو اللعب حصل فين,وَقَبْلَ ما أَقولُ لَكَ الغَلَطِ أَوْ اللَّعِبِ حَصَلَ فينْ,waqabola mA >aqwlu laka AlgalaTi >awo All~aEibi HaSala fyno,wqbl ma aqwlu lk alghlt aw alleb hsl fyn
13934,حابب بس أشير لتصريح مهم جدا قاله,حابِبْ بَسّْ أُشيرُ لِتَصْريحٍ مُهِمٍّ جِدًّا قالَهُ,HAbibo bas~o >u$yru litaSoryHK muhim~K jid~FA qAlahu,habb bs aushyru ltsryh muhm jda qalhu
13935,السفير الصيني في النيجر للحكومة هناك,السَّفيرُ الصّينيُّ في النَّيْجَرِ لِلْحُكومَةِ هُناكَ,Als~afyru AlS~yny~u fy Aln~ayojari liloHukwmapi hunAka,alsfyru alsynyu fy alnyjr llhukwmt hunak
13936,بتكسبوا من تصدير البصل أكتر من اللي,بتكسبوا مِنْ تَصْديرِ البَصَلِ أَكْتَرْ مِنْ اللّي,btksbwA mino taSodyri AlbaSali >akotaro mino All~y,btksbwa mn tsdyr albsl aktr mn ally
13937,بتكسبوه من تصدير اليورانيوم,بتكسبوهْ مِنْ تَصْديرِ اليورانْيومِ,btksbwho mino taSodyri AlywrAnoywmi,btksbwh mn tsdyr alywranywm
13938,يبقى كدا فيه حاجة غلط,يَبْقَى كَدا فيهِ حاجَةٌ غَلَطٌ,yaboqaY kadA fyhi HAjapN galaTN,ybqa kda fyh hajt ghlt
13939,وخليني أقول لك الغلط فين,وَخَلّيني أَقولَ لَكَ الغَلَطِ فينْ,waxal~yny >aqwla laka AlgalaTi fyno,wkhlyny aqwl lk alghlt fyn
13940,وهم زعلانين,وَهُمْ زعلانَيْنِ,wahumo zElAnayoni,whum zelanyn
13941,رغم إن الكل ساعتها قال إن الاتفاقية مكسب,رَغْمَ إِنَّ الكُلَّ ساعَتَها قالَ إِنَّ الِاتِّفاقيَّةَ مَكْسَبٌ,ragoma <in~a Alkul~a sAEatahA qAla <in~a AliAt~ifAqy~apa makosabN,rghm in alkul saetha qal in alatfaqyt mksb
13942,للطرفين,لِلطَّرَفَيْنِ,lilT~arafayoni,lltrfyn
13943,لكن بالنسبة للفرنسيين دي كانت خسارة,لَكِنَّ بِالنِّسْبَةِ لِلْفَرَنْسيّينَ دي كانَتْ خَسارَةً,lakin~a biAln~isobapi lilofaranosy~yna dy kAnato xasArapF,lkn balnsbt llfrnsyyn dy kant khsart
13944,ليه كانت خسارة ,ليهْ كانَتْ خَسارَةً,lyho kAnato xasArapF,lyh kant khsart
13945,هقول لك تحليلي أنا الشخصي,هُقولَ لَكَ تَحْليلي أَنا الشَّخْصيُّ,huqwla laka taHolyly >anA Al$~axoSy~u,huqwl lk thlyly ana alshkhsyu
13946,باختصار هو شايف إن حكومة النيجر طرف,بِاخْتِصارٍ هوَ شايِفَ إِنَّ حُكومَةَ النَّيْجَرِ طَرَفٍ,biAxotiSArK hwa $Ayifa <in~a Hukwmapa Aln~ayojari TarafK,bakhtsar hw shayf in hukwmt alnyjr trf
13947,سنة تقريبا,سَنَةٌ تَقْريبًا,sanapN taqorybFA,snt tqryba
13948,جايين بقى تستنصحوا دلوقت وعاوزين تبيعوا,جايينْ بَقَّى تستنصحوا دلوقتْ وعاوِزينَ تَبيعوا,jAyyno baq~aY tstnSHwA dlwqto wEAwizyna tabyEwA,jayyn bqa tstnshwa dlwqt weawzyn tbyewa
13949,اليورانيوم بسعر عادل زي بقية الدول المحترمة,اليورانْيومِ بِسِعْرِ عادِلٍ زيَّ بَقيَّةِ الدّوَلِ المُحْتَرَمَةِ,AlywrAnoywmi bisiEori EAdilK zy~a baqy~api Ald~wali AlmuHotaramapi,alywranywm bser eadl zy bqyt aldwl almuhtrmt
13950,طب إيه العمل بعد ما وقعنا الاتفاقية ,طِبِّ إيهْ العَمَلِ بَعْدَ ما وَقَعْنا الِاتِّفاقيَّةُ,Tib~i <yho AlEamali baEoda mA waqaEonA AliAt~ifAqy~apu,tb iyh aleml bed ma wqena alatfaqytu
13951,قال لك بسيطة,قالَ لَكَ بَسيطَةٌ,qAla laka basyTapN,qal lk bsytt
13952,نسرقهم,نَسْرِقَهُمْ,nasoriqahumo,nsrqhum
13953,بتتحسب على أساس أرباح الشركة الفرنسية,بِتَتَحَسَّبْ عَلَى أَساسِ أَرْباحِ الشَّرِكَةِ الفَرَنْسيَّةِ,bitataHas~abo EalaY >asAsi >arobAHi Al$~arikapi Alfaranosy~api,btthsb ela asas arbah alshrkt alfrnsyt
13954,والأرباح بتاعت الشركة بيحددها سعر,والْأَرْباحُ بِتاعتُ الشَّرِكَةِ بيُحَدِّدَها سِعْرُ,wAlo>arobAHu bitAEtu Al$~arikapi byuHad~idahA siEoru,walarbahu btaetu alshrkt byuhddha seru
13955,بيع اليورانيوم,بَيْعُ اليورانْيومِ,bayoEu AlywrAnoywmi,byeu alywranywm
13956,الفرنسيين خفضوا في دفاترهم سعر بيع,الفَرَنْسيّينَ خَفْضوا في دَفاتِرِهِمْ سِعْرِ بَيْعِ,Alfaranosy~yna xafoDwA fy dafAtirihimo siEori bayoEi,alfrnsyyn khfdwa fy dfatrhm ser bye
13957,بالشكل دا الأرباح قلت على الورق,بِالشَّكْلِ دا الأَرْباحِ قُلتْ عَلَى الوَرَقِ,biAl$~akoli dA Al>arobAHi qulto EalaY Alwaraqi,balshkl da alarbah qult ela alwrq
13958,والفلوس اللي بتدفع لحكومة النيجر قلت,والْفُلوسُ اللّي بِتَدْفَعُ لِحُكومَةِ النَّيْجَرِ قُلتْ,wAlofulwsu All~y bitadofaEu liHukwmapi Aln~ayojari qulto,walfulwsu ally btdfeu lhukwmt alnyjr qult
13959,لو بصيت معايا على أرقام الإنتاج ومدفوعات,لَوْ بِصيتِ مَعايا عَلَى أَرْقامِ الإِنْتاجِ وَمَدْفوعاتِ,lawo biSyti maEAyA EalaY >aroqAmi Al<inotAji wamadofwEAti,lw bsyt meaya ela arqam alintaj wmdfweat
13960,عجيب جدا,عَجيبٌ جِدًّا,EajybN jid~FA,ejyb jda
13961,اليورانيوم كان جاي من النيجر,اليورانْيومِ كانَ جاي مِنْ النَّيْجَرِ,AlywrAnoywmi kAna jAy mino Aln~ayojari,alywranywm kan jay mn alnyjr
13962,المفروض إن مدفوعات الضرايب تتناسب,المَفْروضُ إِنَّ مَدْفوعاتِ الضَّرايِبِ تَتَناسَبُ,AlmaforwDu <in~a madofwEAti AlD~arAyibi tatanAsabu,almfrwdu in mdfweat aldrayb ttnasbu
13963,مع الإنتاج,مَعَ الإِنْتاجِ,maEa Al<inotAji,me alintaj
13964,بس مش دا هو الحاصل,بَسَّ مَشْ دا هوَ الحاصِلُ,bas~a ma$o dA hwa AlHASilu,bs msh da hw alhaslu
13965,الضرايب اللي دفعوها للدول صاحبة الأراضي,الضَّرايِبَ اللّي دَفَعوها لِلدّوَلِ صاحِبَةَ الأَراضي,AlD~arAyiba All~y dafaEwhA lild~wali SAHibapa Al>arADy,aldrayb ally dfewha lldwl sahbt alarady
13966,اللي فيها مناجم اليورانيوم بتاعتها خلال,اللّي فيها مَناجِمُ اليورانْيومِ بِتاعِتَها خِلالَ,All~y fyhA manAjimu AlywrAnoywmi bitAEitahA xilAla,ally fyha mnajmu alywranywm btaetha khlal
13967,السنة دي,السُّنَّةُ دي,Als~un~apu dy,alsuntu dy
13968,اللي بيدفعوها,اللّي بيدفعوها,All~y bydfEwhA,ally bydfewha
13969,في حين إن الدولتين أصلا إنتاجهم,في حينِ إِنَّ الدَّوْلَتَيْنِ أَصْلًا إِنْتاجَهُمْ,fy Hyni <in~a Ald~awolatayoni >aSolFA <inotAjahumo,fy hyn in aldwltyn asla intajhum
13970,من اليورانيوم قريب من بعضه,مِنْ اليورانْيومِ قَريبٌ مِنْ بَعْضِهِ,mino AlywrAnoywmi qarybN mino baEoDihi,mn alywranywm qryb mn bedh
13971,الحركة دي خلت الوضع يبقى كما هو عليه,الحَرَكَةُ دي خَلَتْ الوَضْعَ يَبْقَى كَما هوَ عَلَيْهِ,AlHarakapu dy xalato AlwaDoEa yaboqaY kamA hwa Ealayohi,alhrktu dy khlt alwde ybqa kma hw elyh
13972,فرنسا بتشغل محطاتها النووية بيورانيوم جاي,فَرَنْسا بِتَشْغَلَ مَحَطّاتِها النَّوَويَّةِ بيورانْيومِ جاي,faranosA bita$ogala maHaT~AtihA Aln~awawy~api bywrAnoywmi jAy,frnsa btshghl mhtatha alnwwyt bywranywm jay
13973,من النيجر وكازاخستان وكندا,مِنْ النَّيْجَرِ وَكازاخِسْتانَ وَكَنَدا,mino Aln~ayojari wakAzAxisotAna wakanadA,mn alnyjr wkazakhstan wknda
13974,وبتدفع للنيجر الفقيرة أقل سعر لأنها فقيرة,وَبِتَدْفَعْ لِلنَّيْجِرِ الفَقيرَةِ أَقَلَّ سِعْرٍ لِأَنَّها فَقيرَةٌ,wabitadofaEo liln~ayojiri Alfaqyrapi >aqal~a siEorK li>an~ahA faqyrapN,wbtdfe llnyjr alfqyrt aql ser lanha fqyrt
13975,وما لهاش صوت ولا حد يدافع عنها في,وَما لِهاشِّ صَوْتٍ وَلا حَدَّ يُدافِعُ عَنْها في,wamA lihA$~i SawotK walA Had~a yudAfiEu EanohA fy,wma lhash swt wla hd yudafeu enha fy
13976,ماتشات الدوري الإنكليزي,ماتشاتْ الدَّوْريِّ الإِنْكِليزيِّ,mAt$Ato Ald~awory~i Al<inokilyzy~i,matshat aldwry alinklyzy
13977,وفي نفس الوقت فرنسا بتملك,وَفي نَفْسِ الوَقْتِ فَرَنْسا بِتَمْلِكْ,wafy nafosi Alwaqoti faranosA bitamoliko,wfy nfs alwqt frnsa btmlk
13978,نفوذ قوي عليها,نُفوذُ قَويٍّ عَلَيْها,nufw*u qawy~K EalayohA,nufwdhu qwy elyha
13979,وبالمناسبة أحد وسائل نفوذ فرنسا على النيجر,وَبِالْمُناسَبَةِ أَحَدَ وَسائِلِ نُفوذِ فَرَنْسا عَلَى النَّيْجَرِ,wabiAlomunAsabapi >aHada wasA}ili nufw*i faranosA EalaY Aln~ayojari,wbalmunasbt ahd wsayl nufwdh frnsa ela alnyjr
13980,من ضمنهم النيجر واللي بتصدرها,مِنْ ضِمْنِهِمْ النَّيْجَرُ واللّي بِتَصْدُرِها,mino Dimonihimo Aln~ayojaru wAll~y bitaSodurihA,mn dmnhm alnyjru wally btsdurha
13981,الخزانة الفرنسية,الخِزانَةِ الفَرَنْسيَّةُ,AlxizAnapi Alfaranosy~apu,alkhzant alfrnsytu
13982,أنا كنت حكيت لكم قصة العملة دي بالتفصيل,أَنا كُنْتْ حَكَيتْ لَكُمْ قِصَّةُ العُمْلَةِ دي بِالتَّفْصيلِ,>anA kunoto Hakayto lakumo qiS~apu AlEumolapi dy biAlt~afoSyli,ana kunt hkyt lkum qstu aleumlt dy baltfsyl
13983,وإزاي فرنسا بتستخدمها في نهب أفريقيا,وَإِزاي فَرَنْسا بِتُسْتَخْدَمَها في نَهْبِ أَفْريقْيا,wa<izAy faranosA bitusotaxodamahA fy nahobi >aforyqoyA,wizay frnsa btustkhdmha fy nhb afryqya
13984,في حلقة فرنسا تنهب أفريقيا,في حَلْقَةٍ فَرَنْسا تَنْهَبُ أَفْريقْيا,fy HaloqapK faranosA tanohabu >aforyqoyA,fy hlqt frnsa tnhbu afryqya
13985,اللي ما تفرجش عليها ضروري يشوفها لأنها,اللّي ما تفرجشْ عَلَيْها ضَروريٌّ يِشوفْها لِأَنَّها,All~y mA tfrj$o EalayohA Darwry~N yi$wfohA li>an~ahA,ally ma tfrjsh elyha drwry yshwfha lanha
13986,هتفهمه حاجات كتير,هتفهمهْ حاجاتِ كِتيرْ,htfhmho HAjAti kityro,htfhmh hajat ktyr
13987,وبما إننا جبنا سيرة الخزانة الفرنسية,وَبِما إِنَّنا جُبْنًا سيرَةُ الخِزانَةِ الفَرَنْسيَّةِ,wabimA <in~anA jubonFA syrapu AlxizAnapi Alfaranosy~api,wbma inna jubna syrtu alkhzant alfrnsyt
13988,خدوا النكتة دي,خَدّوا النُّكْتَةُ دي,xad~wA Aln~ukotapu dy,khdwa alnukttu dy
13989,في نوفمبر اللي فات,في نوفَمْبِرَ اللّي فاتَ,fy nwfamobira All~y fAta,fy nwfmbr ally fat
13990,الحكومة الفرنسية أقرت مساعدة للنيجر قيمتها,الحُكومَةُ الفَرَنْسيَّةُ أَقَرَّتْ مُساعَدَةَ لِلنَّيْجِرِ قيمَتَها,AlHukwmapu Alfaranosy~apu >aqar~ato musAEadapa liln~ayojiri qymatahA,alhukwmtu alfrnsytu aqrt musaedt llnyjr qymtha
13991,ناس قلبها كبير,ناسْ قَلْبَها كَبيرٍ,nAso qalobahA kabyrK,nas qlbha kbyr
13992,طيب بدل ما تدوهم لقمة وتعاملوهم,طَيِّبُ بَدَلَ ما تَدوَهُمْ لُقْمَةٍ وتعاملوهمْ,Tay~ibu badala mA tadwahumo luqomapK wtEAmlwhmo,tybu bdl ma tdwhum luqmt wteamlwhm
13993,كشحاتين محتاجين المساعدة,كَشِحاتَيْنِ مُحْتاجينَ المُساعَدَةِ,ka$iHAtayoni muHotAjyna AlmusAEadapi,kshhatyn muhtajyn almusaedt
13994,ادوهم المخبز بتاعهم اللي إنتو واكلينه,ادوهُمْ المَخْبِزَّ بِتاعَهُمْ اللّيَّ إنتو واكلينهْ,Adwhumo Almaxobiz~a bitAEahumo All~y~a <ntw wAklynho,adwhum almkhbz btaehum ally intw waklynh
13995,في بطنكم,في بَطْنِكُمْ,fy baTonikumo,fy btnkum
13996,إيه اللي هيحصل لو شركة أريفا الحكومية,إيهْ اللّيَّ هيحصلْ لَوْ شَرِكَةِ أَريفا الحُكوميَّةِ,<yho All~y~a hyHSlo lawo $arikapi >aryfA AlHukwmy~api,iyh ally hyhsl lw shrkt aryfa alhukwmyt
13997,الفرنسية عاملت النيجر بالحق والعدل وادتها,الفَرَنْسيَّةُ عامِلتَ النَّيْجَرُ بِالْحَقِّ والْعَدْلِ وادتْها,Alfaranosy~apu EAmilta Aln~ayojaru biAloHaq~i wAloEadoli wAdtohA,alfrnsytu eamlt alnyjru balhq waledl wadtha
13998,التمن العادل لليورانيوم بتاعها,التَّمَنُّ العادِلُ لِلْيورانْيومِ بِتاعِها,Alt~aman~u AlEAdilu liloywrAnoywmi bitAEihA,altmnu aleadlu llywranywm btaeha
13999,إنتو عارفين أريفا شغالة في أكتر من بلد,إنتو عارِفينَ أَريفا شِغالَةً في أَكْتَرْ مِنْ بَلَدٍ,<ntw EArifyna >aryfA $igAlapF fy >akotaro mino baladK,intw earfyn aryfa shghalt fy aktr mn bld
14000,وماشية زي الألف هناك,وَماشيَةُ زيّ الأَلْفِ هُناكَ,wamA$yapu zy~ Al>alofi hunAka,wmashytu zy alalf hunak
14001,مش بتمشي شمال غير في النيجر,مَشْ بِتَمْشي شَمالِ غَيْرِ في النَّيْجَرِ,ma$o bitamo$y $amAli gayori fy Aln~ayojari,msh btmshy shmal ghyr fy alnyjr
14002,إنها متورطة في قضية رشوة في النيجر,إِنَّها مُتَوَرِّطَةٌ في قَضيَّةِ رَشْوَةٍ في النَّيْجَرِ,<in~ahA mutawar~iTapN fy qaDy~api ra$owapK fy Aln~ayojari,inha mutwrtt fy qdyt rshwt fy alnyjr
14003,لو أنت مكان أريفا تعمل إيه في الورطة دي ,لَوْ أَنْتَ مَكانٌ أَريفا تَعْمَلُ إيهْ في الوَرْطَةِ دي,lawo >anota makAnN >aryfA taEomalu <yho fy AlwaroTapi dy,lw ant mkan aryfa temlu iyh fy alwrtt dy
14004,ببساطة الشركة الفرنسية غيرت اسمها,بِبَساطَةٍ الشَّرِكَةِ الفَرَنْسيَّةِ غَيَّرتْ اسْمَها,bibasATapK Al$~arikapi Alfaranosy~api gay~arto AsomahA,bbsatt alshrkt alfrnsyt ghyrt asmha
14005,بدل ما كان اسمها أريفا,بَدَلَ ما كانَ اسْمُها أَريفا,badala mA kAna AsomuhA >aryfA,bdl ma kan asmuha aryfa
14006,خلت اسمها أورانو,خَلَتْ اسْمُها أورانو,xalato AsomuhA >wrAnw,khlt asmuha awranw
14007,وأنا من موقعي هذا بقول لكم يا جماعة,وَأَنا مِنْ موَقَّعي هَذا بِقَوْلِ لَكُمْ يا جَماعَةَ,wa>anA mino mwaq~aEy ha*A biqawoli lakumo yA jamAEapa,wana mn mwqey hdha bqwl lkum ya jmaet
14008,أورانو هي أريفا الفرنسية بذات نفسها,أورانو هيَ أَريفا الفَرَنْسيَّةِ بِذاتِ نَفْسِها,>wrAnw hya >aryfA Alfaranosy~api bi*Ati nafosihA,awranw hy aryfa alfrnsyt bdhat nfsha
14009,اللي تمسكت في قضية رشوة في النيجر,اللّي تَمَسَّكَتْ في قَضيَّةِ رَشْوَةٍ في النَّيْجَرِ,All~y tamas~akato fy qaDy~api ra$owapK fy Aln~ayojari,ally tmskt fy qdyt rshwt fy alnyjr
14010,وواكلة فلوس الناس هناك,وواكِلَةَ فُلوسٌ النّاسَ هُناكَ,wwAkilapa fulwsN Aln~Asa hunAka,wwaklt fulws alnas hunak
